name,slug,city,state,country,latitude,longitude,website,type,total_enrollment,undergraduate_enrollment,acceptance_rate,average_sat,average_act,tuition_in_state,tuition_out_state,room_and_board,books_supplies,graduation_rate,retention_rate,avg_net_price,percent_receiving_aid,student_faculty_ratio,pcip01,pcip03,pcip04,pcip05,pcip09,pcip10,pcip11,pcip12,pcip13,pcip14,pcip15,pcip16,pcip19,pcip22,pcip23,pcip24,pcip25,pcip26,pcip27,pcip29,pcip30,pcip31,pcip38,pcip39,pcip40,pcip41,pcip42,pcip43,pcip44,pcip45,pcip46,pcip47,pcip48,pcip49,pcip50,pcip51,pcip52,pcip54
Mississippi Valley State University,mississippi-valley-state-university,Itta Bena,MS,USA,33.514142,-90.341274,https://www.mvsu.edu/,Public,1326,1326,51.16,910,16,7912,7912,8112,2000,22.14,57.56,11812,53.93,13.0,0.0,0.0,0.0,0.0,5.04,0.0,3.36,0.0,13.03,0.0,3.78,0.0,0.0,1.26,0.84,14.29,0.0,11.76,2.94,0.0,0.0,4.2,0.0,0.0,4.62,0.0,0.0,6.3,8.4,1.68,0.0,0.0,0.0,0.0,6.3,0.84,11.34,0.0
University of Pittsburgh-Greensburg,university-of-pittsburgh-greensburg,Greensburg,PA,USA,40.276447,-79.532676,https://www.greensburg.pitt.edu/,Public,1322,1322,97.92,1172,22,14630,26504,12490,750,39.63,67.73,17034,60.99,15.0,0.0,0.0,0.0,0.0,0.8,0.0,8.03,0.0,6.02,0.0,0.0,1.61,0.0,0.0,7.63,0.0,0.0,20.08,2.01,0.0,3.61,0.0,0.0,0.0,2.41,0.0,16.06,6.02,0.4,1.61,0.0,0.0,0.0,0.0,0.4,6.02,14.46,2.81
Maryland Institute College of Art,maryland-institute-college-of-art,Baltimore,MD,USA,39.308792,-76.621033,https://www.mica.edu/,Private Non-Profit,1319,1319,77.29,1207,,55150,55150,19924,1500,71.33,85.02,,40.2,8.0,0.0,0.0,0.58,0.0,18.95,11.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.51,0.0,0.0,0.0
Kentucky State University,kentucky-state-university,Frankfort,KY,USA,38.201427,-84.855402,https://www.kysu.edu/,Public,1317,1317,92.55,910,,9214,13260,8186,1332,27.14,60.79,8900,55.03,14.0,3.24,1.08,0.0,0.0,8.65,0.0,4.32,0.0,9.19,0.0,0.0,0.0,0.54,0.0,0.0,16.22,0.0,6.49,2.16,0.0,0.0,0.0,0.0,0.0,1.08,0.0,9.73,5.95,4.86,1.62,0.0,0.0,0.0,0.0,1.08,12.97,10.81,0.0
Rivier University,rivier-university,Nashua,NH,USA,42.738676,-71.45626,https://www.rivier.edu/,Private Non-Profit,1312,1312,81.76,,,37791,37791,14943,1400,58.71,76.21,,73.06,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.71,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,4.0,0.0,0.0,0.29,0.86,0.0,0.0,0.0,0.0,4.29,3.14,0.57,0.57,0.0,0.0,0.0,0.0,0.0,72.86,7.14,0.0
Westmont College,westmont-college,Santa Barbara,CA,USA,34.450151,-119.662517,https://www.westmont.edu/,Private Non-Profit,1310,1310,79.86,1367,29,51790,51790,16360,1600,70.09,86.82,,50.0,10.0,0.0,0.0,0.0,0.0,6.89,0.0,5.09,0.0,1.8,2.69,0.0,0.6,0.0,0.0,3.29,3.29,0.0,9.58,1.2,0.0,1.8,12.28,4.49,0.0,4.19,0.0,7.49,0.0,0.0,11.38,0.0,0.0,0.0,0.0,4.19,2.4,15.57,1.8
Thomas More University,thomas-more-university,Crestview Hills,KY,USA,39.022963,-84.568923,https://www.thomasmore.edu/,Private Non-Profit,1305,1305,97.03,1140,,38400,38400,9530,500,40.11,67.02,,59.7,14.0,0.0,0.0,0.0,0.0,2.39,0.0,1.79,0.0,8.06,0.0,0.0,0.0,0.0,1.49,1.49,8.36,0.0,6.27,0.0,0.0,3.88,8.36,0.6,0.0,0.9,0.0,5.07,1.79,0.0,1.49,0.0,0.0,0.0,0.0,2.09,11.34,31.34,3.28
Florida Memorial University,florida-memorial-university,Miami Gardens,FL,USA,25.918278,-80.270753,https://www.fmuniv.edu/,Private Non-Profit,1299,1299,74.31,,,19110,19110,9656,2600,30.23,56.88,,55.28,16.0,0.0,0.0,0.0,0.0,0.75,0.0,5.97,0.0,4.48,0.0,0.0,0.0,0.0,4.48,0.0,0.0,0.0,10.45,0.0,0.0,2.24,0.0,0.0,0.0,1.49,0.0,9.7,14.18,2.24,4.48,0.0,0.0,0.0,9.7,3.73,0.0,26.12,0.0
D'Youville  University,dyouville-university,Buffalo,NY,USA,42.902636,-78.890868,https://www.dyu.edu/,Private Non-Profit,1299,1299,82.35,1040,24,33560,33560,11800,1200,56.68,71.83,,62.47,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,21.26,0.0,3.27,0.0,0.0,7.01,0.0,0.47,0.0,0.0,0.0,3.27,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,62.38,1.64,0.0
Albright College,albright-college,Reading,PA,USA,40.361351,-75.909742,https://www.albright.edu/home/,Private Non-Profit,1296,1296,86.15,,,28794,28794,13954,1300,42.15,63.09,,78.33,10.0,0.0,4.4,0.0,0.4,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.8,2.4,0.0,3.2,0.0,0.0,7.6,0.4,0.0,0.4,0.0,0.4,0.0,1.6,0.0,17.2,0.0,0.4,10.8,0.0,0.0,0.0,0.0,16.0,0.0,26.0,2.0
